Hour Of Day,Average_Traffic_Density,Average_Speed,Record_Count
0,0.27903633843249837,59.47367085414291,50858
1,0.27836165939551155,59.61219685375153,50886
2,0.27944160488443087,59.51289649327994,50446
3,0.2809748297287609,59.40399589755845,50214
4,0.27991150439009094,59.35223603598307,51024
5,0.2804073888823506,59.622385106508176,50982
6,0.2826029111247258,59.539985857428015,50599
7,0.29123182097480727,61.32494813383283,50451
8,0.2935793240713371,61.27370133609222,50745
9,0.28092126766914344,59.925444162565924,51007
10,0.2721514393730556,59.51679280116567,50786
11,0.2731859586767176,59.52689281334219,51206
12,0.2770730998095843,60.25282708465567,50416
13,0.2681475178414312,60.4417314889041,51145
14,0.27107497683405296,60.16978451528952,50721
15,0.26589363838849595,59.64440438240006,51182
16,0.2648815979917237,59.62186263900057,50989
17,0.284771279756088,61.260261374741035,51166
18,0.28352056880263493,61.93566675344654,50703
19,0.27181920770920315,59.44123064091656,50537
20,0.27310484857963985,59.36392603569963,51149
21,0.27447469383756246,59.47612822572744,51035
22,0.27155566334090686,59.482555262274026,50615
23,0.27248570357952867,59.50506883542057,50705
